DateTime,open,high,low,close,Volume,Date,Time
2022-10-13 14:59:00,38.3,44.6,27.55,27.55,5090400,2022-10-13,14:59:00
2022-10-13 15:00:00,27.1,64.1,20.0,64.1,7101600,2022-10-13,15:00:00
2022-10-13 15:01:00,66.4,98.85,62.0,65.65,5705425,2022-10-13,15:01:00
2022-10-13 15:02:00,69.1,90.85,69.1,83.7,3234925,2022-10-13,15:02:00
2022-10-13 15:03:00,84.7,116.85,79.05,102.85,3811725,2022-10-13,15:03:00
2022-10-13 15:04:00,103.95,109.6,77.8,92.3,2691325,2022-10-13,15:04:00
2022-10-13 15:05:00,95.75,132.9,95.75,131.95,2887675,2022-10-13,15:05:00
2022-10-13 15:06:00,130.75,135.75,103.85,135.75,2022275,2022-10-13,15:06:00
2022-10-13 15:07:00,133.0,139.0,111.5,112.65,1461650,2022-10-13,15:07:00
2022-10-13 15:08:00,111.2,120.5,104.6,116.35,1461925,2022-10-13,15:08:00
2022-10-13 15:09:00,115.7,130.6,90.25,100.1,1913125,2022-10-13,15:09:00
2022-10-13 15:10:00,99.95,118.7,96.65,109.55,1222325,2022-10-13,15:10:00
2022-10-13 15:11:00,108.8,125.95,106.2,124.25,1072500,2022-10-13,15:11:00
2022-10-13 15:12:00,124.75,124.75,108.55,114.55,924875,2022-10-13,15:12:00
2022-10-13 15:13:00,113.8,123.15,113.8,118.5,856250,2022-10-13,15:13:00
2022-10-13 15:14:00,117.95,118.3,88.1,94.65,1386375,2022-10-13,15:14:00
2022-10-13 15:15:00,98.95,107.4,90.75,94.75,1298550,2022-10-13,15:15:00
2022-10-13 15:16:00,92.2,99.8,80.05,80.55,1214600,2022-10-13,15:16:00
2022-10-13 15:17:00,83.9,89.0,72.6,72.6,1205075,2022-10-13,15:17:00
2022-10-13 15:18:00,72.0,83.75,71.4,78.75,1124000,2022-10-13,15:18:00
2022-10-13 15:19:00,78.75,84.35,77.25,82.65,898825,2022-10-13,15:19:00
2022-10-13 15:20:00,81.8,82.35,76.55,78.45,779350,2022-10-13,15:20:00
2022-10-13 15:21:00,78.65,78.8,72.0,78.8,728575,2022-10-13,15:21:00
2022-10-13 15:22:00,79.2,82.45,78.7,81.95,764175,2022-10-13,15:22:00
2022-10-13 15:23:00,81.15,82.15,79.55,80.0,355250,2022-10-13,15:23:00
2022-10-13 15:24:00,80.25,81.35,78.8,79.35,306550,2022-10-13,15:24:00
2022-10-13 15:25:00,79.65,79.75,77.7,78.4,347000,2022-10-13,15:25:00
2022-10-13 15:26:00,78.35,78.35,75.05,76.25,348575,2022-10-13,15:26:00
2022-10-13 15:27:00,76.15,78.3,75.5,75.6,301375,2022-10-13,15:27:00
2022-10-13 15:28:00,76.2,76.2,74.9,75.9,256925,2022-10-13,15:28:00
2022-10-13 15:29:00,75.9,76.45,75.55,76.05,283800,2022-10-13,15:29:00
2022-10-13 15:30:00,76.0,76.0,76.0,76.0,1300,2022-10-13,15:30:00
